DISCIPLINA;AT;AP;AE;AV;NOME;CR;SL/B;ET;PROFESSOR;ALUNOS MATRIC
AB122;2;2;0;0;PROGRAMACAO PARA WEB 1;5W;24/A;2;45.000;2
AB322;2;0;0;0;MATEMATICA DISCRETA;5W;20/A;4;14.091;14
AB422;1;1;0;0;ESTRUTURA DE DADOS 11;5W;20/A;4;13.034;11
AB522;2;2;0;0;PROGRAMACAO ORIENT. OBJETOS 1;5W;20/A;4;14.525;10
AC122;3;1;0;0;PADROES DE PROJETO DE SOFTWARE;5W;20/B;5;14.642;20
AC222;2;0;0;0;ESTAGIO SUPERVISIONADO 1;5W;20/B;5;12.274;27
AC322;2;2;0;0;PROGRAMACAO MOBILE 1;5W;28/A;5;14.875;16
AC422;4;0;0;0;REQUISITOS DE SOFTWARE;5W;06/A;5;14.525;21
AC522;2;2;0;0;DESENVOLVIMENTO DE GAMES 1;5W;26/A;6;45.000;1
AC622;2;2;0;0;PROGRAMACAO MOBILE 11;5W;05/A;6;13.000;6
AC822;1;1;0;0;TESTES DE SOFTWARE;5W;26/B;6;14.525;4
AC922;2;0;0;0;MANUTENCAO DE SOFTWARE;5W;26/A;7;14.642;18
AD122;2;0;0;0;GOVERNANCA TECNOL. INFORMACAO;5W;26/A;7;14.875;18
AD222;2;2;0;0;DESENVOLVIMENTO DE GAMES 11;5W;26/A;7;14.616;22
AD322;3;1;0;0;SISTEMAS DISTRIBUIDOS;5W;28/A;7;13.000;19
AD422;2;2;0;0;PROJETO CONCLUSAO DE CURSO 1;5W;24/A;7;13.070;14
AD522;2;2;0;0;PROJETO CONCLUSAO DE CURSO 11;5W;26/A;8;14.642;12
AE422;2;0;0;2;METODOLOGIA E PROJ. EM ENGENH.;5W;32/B;3;14.091;53
FU422;1;0;0;1;INTRODUCAO GESTAO EMPRESARIAL;5W;20/A;2;45.000;1
FV722;2;2;0;0;LABORATORIO DE PROGRAMACAO 11;5W;24/A;2;45.000;1
GB922;2;0;0;2;ESTUDOS CONTEMPORANEOS;5W;17/G;3;12.203;71
GJ922;3;1;0;0;BANCO DE DADOS;5W;06/A;3;14.472;61
GK622;2;0;0;0;TEORIA DA COMPUTACAO;5W;20/B;5;14.776;17
GL822;3;1;0;0;REDES DE COMPUTADORES;5W;05/A;5;13.034;27
GM722;4;0;0;0;TOPICOS ESPEC. ENGENHARIA 1;5W;07/A;7;11.792;22
HE622;2;2;0;0;LOGICA E CRIATIVIDADE;5W;17/G;1;13.070;61
HE722;2;2;0;0;ALGORITMOS E PROGRAMACAO;5W;24/B;1;11.785;56
HE822;4;0;0;0;FUND. DA MATEMATICA p/ ENG.;5W;24/B;1;11.792;52
HF222;2;0;0;2;FUND. DE ENG. DE SOFTWARE;5W;20/B;1;13.034;59
R0812;2;2;0;0;SISTEMAS OPERACIONAIS;5W;32/B;3;13.034;50
R8512;2;2;0;0;ESTRUTURA DE DADOS 1;5W;32/B;3;14.472;56
RG312;4;0;0;0;GEOM. ANALITICA E ALG. LINEAR;5W;20/A;2;11.792;18
RG712;4;0;0;0;QUALIDADE DE SOFTWARE;5W;01/A;4;14.642;11
