DISCIPLINA;NOME;PROFESSOR CODE
HE722;ALGORITMOS E PROGRAMACAO;11.785
HE822;FUND. DA MATEMATICA p/ ENG.;11.792
RG312;GEOM. ANALITICA E ALG. LINEAR;11.792
GM722;TOPICOS ESPEC. ENGENHARIA 1;11.792
GB922;ESTUDOS CONTEMPORANEOS;12.203
AC222;ESTAGIO SUPERVISIONADO 1;12.274
AD422;PROJETO CONCLUSAO DE CURSO 1;12.274
AD522;PROJETO CONCLUSAO DE CURSO 11;12.274
HF222;FUND. DE ENG. DE SOFTWARE;13.000
AC622;PROGRAMACAO MOBILE 11;13.000
AD322;SISTEMAS DISTRIBUIDOS;13.000
GK622;TEORIA DA COMPUTACAO;13.000
HE722;ALGORITMOS E PROGRAMACAO;13.034
AB422;ESTRUTURA DE DADOS 11;13.034
HF222;FUND. DE ENG. DE SOFTWARE;13.034
GL822;REDES DE COMPUTADORES;13.034
R0812;SISTEMAS OPERACIONAIS;13.034
HE622;LOGICA E CRIATIVIDADE;13.070
AD422;PROJETO CONCLUSAO DE CURSO 1;13.070
AB322;MATEMATICA DISCRETA;14.091
AE422;METODOLOGIA E PROJ . EM ENGENH .;14.091
GJ922;BANCO DE DADOS;14.472
R8512;ESTRUTURA DE DADOS 1;14.472
AB422;ESTRUTURA DE DADOS 11;14.472
GL822;REDES DE COMPUTADORES;14.472
R0812;SISTEMAS OPERACIONAIS;14.472
HE722;ALGORITMOS E PROGRAMACAO;14.525
AB522;PROGRAMACAO ORIENT. OBJETOS 1;14.525
AC422;REQUISITOS DE SOFTWARE;14.525
AC822;TESTES DE SOFTWARE;14.525
AD222;DESENVOLVIMENTO DE GAMES 11;14.616
GJ922;BANCO DE DADOS;14.642
R8512;ESTRUTURA DE DADOS 1;14.642
AC922;MANUTENCAO DE SOFTWARE;14.642
AC122;PADROES DE PROJETO DE SOFTWARE;14.642
AD522;PROJETO CONCLUSAO DE CURSO 11;14.642
RG712;QUALIDADE DE SOFTWARE;14.642
HE722;ALGORITMOS E PROGRAMACAO;14.776
GJ922;BANCO DE DADOS;14.776
GK622;TEORIA DA COMPUTACAO;14.776
R8512;ESTRUTURA DE DADOS 1;14.875
AD122;GOVERNANCA TECNOL. INFORMACAO;14.875
AC322;PROGRAMACAO MOBILE 1;14.875
AC522;DESENVOLVIMENTO DE GAMES 1;45.000
FU422;INTRODUCAO GESTAO EMPRESARIAL;45.000
FV722;LABORATORIO DE PROGRAMACAO 11;45.000
AB122;PROGRAMACAO PARA WEB 1;45.000
